Date,taAvg,taMin,taMax,rain,whAvg,whHigh,YN
2021-12-15,8.085714285714285,4.614285714285714,12.028571428571428,0.0,0.1714285714285714,0.5428571428571429,0
2021-12-16,7.928571428571429,4.114285714285714,12.2,0.0,0.15714285714285708,0.5000000000000001,0
2021-12-17,7.728571428571428,4.085714285714286,11.785714285714286,0.3428571428571388,0.12857142857142853,0.4714285714285716,0
2021-12-18,6.242857142857142,2.2714285714285714,10.685714285714285,0.3714285714285674,0.14285714285714285,0.48571428571428577,0
2021-12-19,4.7,0.4428571428571428,9.257142857142856,0.3714285714285674,0.1571428571428571,0.5142857142857143,0
2021-12-20,4.228571428571429,0.5428571428571428,8.628571428571428,0.3857142857142816,0.14285714285714282,0.4857142857142858,0
2021-12-21,5.071428571428571,1.0857142857142856,9.371428571428572,0.3857142857142816,0.12857142857142856,0.4571428571428573,0
2021-12-22,5.828571428571428,2.0,10.1,0.3857142857142816,0.12857142857142853,0.442857142857143,0
2021-12-23,5.700000000000001,1.9000000000000001,9.985714285714284,0.3857142857142816,0.12857142857142853,0.45714285714285724,0
2021-12-24,5.528571428571429,1.3,10.485714285714286,0.042857142857138805,0.12857142857142856,0.44285714285714295,0
2021-12-25,6.285714285714286,2.1285714285714286,10.8,0.014285714285710226,0.11428571428571425,0.442857142857143,0
2021-12-26,5.957142857142856,2.071428571428572,10.599999999999998,0.014285714285710226,0.12857142857142853,0.4857142857142859,0
2021-12-27,4.700000000000001,0.6571428571428571,9.457142857142856,0.0,0.14285714285714282,0.5000000000000001,0
2021-12-28,3.4285714285714293,-0.5285714285714285,8.214285714285714,0.0,0.15714285714285708,0.5142857142857143,0
2021-12-29,2.6285714285714286,-1.3,7.200000000000001,0.0,0.1571428571428571,0.5428571428571429,0
2021-12-30,2.3714285714285714,-1.4285714285714284,6.728571428571429,0.0,0.1571428571428571,0.5714285714285715,0
2021-12-31,1.6428571428571428,-1.8285714285714287,5.628571428571429,0.0,0.1714285714285714,0.6142857142857144,0
2022-01-01,0.5714285714285714,-2.5142857142857147,4.528571428571429,0.0,0.1857142857142857,0.6285714285714288,0
2022-01-02,1.1428571428571428,-2.1285714285714286,5.085714285714286,0.0,0.1714285714285714,0.5857142857142857,0
2022-01-03,2.314285714285714,-1.0857142857142856,6.471428571428571,0.0,0.1571428571428571,0.5857142857142857,0
2022-01-04,2.957142857142857,-0.45714285714285713,7.314285714285715,0.0,0.14285714285714282,0.5857142857142857,0
2022-01-05,2.971428571428572,-0.35714285714285715,7.442857142857142,0.0,0.14285714285714285,0.5714285714285715,0
2022-01-06,2.7285714285714286,-0.4571428571428572,6.8999999999999995,0.0,0.1571428571428571,0.5714285714285715,0
2022-01-07,3.142857142857143,-0.25714285714285706,7.428571428571429,0.0,0.1571428571428571,0.5714285714285715,0
2022-01-08,3.8000000000000003,0.01428571428571433,8.357142857142858,0.0,0.1571428571428571,0.5428571428571429,0
2022-01-09,4.3,0.5142857142857143,8.87142857142857,0.0,0.14285714285714282,0.5285714285714287,0
2022-01-10,4.5,0.9000000000000001,8.828571428571427,0.0,0.14285714285714285,0.4857142857142858,0
2022-01-11,4.714285714285714,1.2857142857142858,8.885714285714284,0.0,0.14285714285714285,0.47142857142857153,0
2022-01-12,4.085714285714286,0.5857142857142856,8.328571428571427,0.0,0.1571428571428571,0.5142857142857143,0
2022-01-13,3.2285714285714286,-0.47142857142857153,7.885714285714286,0.0,0.1571428571428571,0.5285714285714287,0
2022-01-14,2.257142857142857,-1.1142857142857143,6.771428571428572,0.0,0.1571428571428571,0.5571428571428572,0
2022-01-15,1.7285714285714284,-1.5857142857142859,6.157142857142857,0.0,0.1571428571428571,0.5857142857142857,0
2022-01-16,1.6428571428571428,-1.6714285714285715,6.200000000000001,0.0,0.1571428571428571,0.5714285714285715,0
2022-01-17,1.4428571428571428,-2.1857142857142855,6.042857142857143,0.0,0.1714285714285714,0.6000000000000002,0
2022-01-18,0.8857142857142858,-2.6714285714285717,5.3,0.0,0.1857142857142857,0.6285714285714287,0
2022-01-19,0.8571428571428571,-2.742857142857143,5.257142857142858,0.0,0.1857142857142857,0.5857142857142857,0
2022-01-24,1.3,-2.542857142857143,5.671428571428571,0.0,0.1714285714285714,0.5714285714285715,0
2022-01-25,2.442857142857143,-1.4285714285714286,6.657142857142858,0.0,0.21428571428571427,0.6571428571428574,0
2022-01-26,3.257142857142857,-0.15714285714285697,7.028571428571429,0.0,0.2285714285714285,0.6857142857142858,0
2022-01-27,3.485714285714286,0.2714285714285715,6.9142857142857155,0.0,0.22857142857142856,0.6857142857142858,0
2022-01-28,3.685714285714286,0.8142857142857144,7.228571428571429,0.0,0.21428571428571427,0.6714285714285715,0
2022-01-29,4.014285714285714,1.1714285714285715,7.728571428571429,0.0,0.21428571428571425,0.6571428571428573,0
2022-01-30,4.442857142857143,1.8428571428571432,8.071428571428571,0.0,0.19999999999999996,0.6714285714285715,0
2022-01-31,4.585714285714286,2.185714285714286,8.385714285714286,0.0,0.19999999999999998,0.6714285714285716,0
2022-02-01,4.071428571428572,1.157142857142857,8.414285714285713,0.0,0.14285714285714282,0.5285714285714287,0
2022-02-02,3.642857142857143,0.5857142857142856,8.3,0.0,0.11428571428571425,0.5000000000000001,0
2022-02-03,3.185714285714286,0.24285714285714285,7.914285714285714,0.0,0.12857142857142853,0.5142857142857143,0
